Date,Rain,Temp Max
23-02-2002,0,31.19000053
24-02-2002,0,30.89999962
25-02-2002,0,31.72999954
26-02-2002,0,31.71999931
27-02-2002,0,31.75
28-02-2002,0,32.25999832
1/3/2002,0,32.61999893
2/3/2002,0,33.06999969
3/3/2002,0,33.11000061
4/3/2002,0,33.49000168
5/3/2002,0,33.13999939
6/3/2002,0,33.86999893
7/3/2002,0,33.79000092
8/3/2002,0,33.59000015
9/3/2002,0,32.90000153
10/3/2002,0,32.72000122
11/3/2002,0,32.84000015
12/3/2002,0,34.40999985
13-03-2002,0,34.36000061
14-03-2002,0,33.74000168
15-03-2002,0,32.93999863
16-03-2002,0,32.72000122
17-03-2002,0,33.88999939
18-03-2002,0,33.86999893
19-03-2002,0,33.16999817
20-03-2002,0,32.91999817
21-03-2002,0,33.36999893
22-03-2002,0,33.65000153
23-03-2002,0,34.02999878
24-03-2002,0,34.06000137
25-03-2002,0,34.56000137
26-03-2002,0,34.88999939
27-03-2002,0,35.09999847
28-03-2002,0,35.16999817
29-03-2002,0,35.06000137
30-03-2002,0,35.20000076
31-03-2002,0.913946152,34.56999969
1/4/2002,0,34.45000076
2/4/2002,0.502670407,35.11000061
3/4/2002,0,35.22999954
4/4/2002,1.167170048,35.72000122
5/4/2002,5.872756481,35.84999847
6/4/2002,0,34.27000046
7/4/2002,0,34.52999878
8/4/2002,0,34.56999969
9/4/2002,0,34.75999832
10/4/2002,0,34.84000015
11/4/2002,0,35.20999908
12/4/2002,0,34.81999969
13-04-2002,0,34.95000076
14-04-2002,0,34.81000137
15-04-2002,0,35.34000015
16-04-2002,0,35
17-04-2002,0,35.88999939
18-04-2002,0,36.15000153
19-04-2002,0,36.15999985
20-04-2002,0,36.13999939
21-04-2002,0,35.88000107
22-04-2002,0,35.68000031
23-04-2002,0,35.36000061
24-04-2002,0,35.91999817
25-04-2002,0,36.90999985
26-04-2002,0,36.18999863
27-04-2002,0,35.83000183
28-04-2002,0,36.79999924
29-04-2002,0,36.74000168
30-04-2002,0,36.79000092
1/5/2002,0,36.97000122
2/5/2002,0,36.40999985
3/5/2002,0,35.40000153
4/5/2002,0,33.84000015
5/5/2002,0,34.5
6/5/2002,0,35.04000092
7/5/2002,0,35.72999954
8/5/2002,0,36.22000122
9/5/2002,0,35.66999817
10/5/2002,0,34.41999817
11/5/2002,5.099235058,34.70000076
12/5/2002,0,34.56000137
13-05-2002,0,34.63000107
14-05-2002,1.833242297,34.97000122
15-05-2002,0,34.97999954
16-05-2002,0,32.34999847
17-05-2002,6.244703293,34.16999817
18-05-2002,1.027092457,32.20000076
19-05-2002,0,32.11000061
20-05-2002,0,32.43999863
21-05-2002,0,32.16999817
22-05-2002,0,33.34999847
23-05-2002,0,33.97999954
24-05-2002,2.749863625,34.25999832
25-05-2002,7.585308552,35.43999863
26-05-2002,40.24193192,33.83000183
27-05-2002,0,32.15999985
28-05-2002,0,33.13999939
29-05-2002,0,33.31000137
30-05-2002,0,32.63999939
31-05-2002,8.588307381,33.06999969
1/6/2002,2.53753376,31.70999908
2/6/2002,3.884271383,31.64999962
3/6/2002,0,30.81999969
4/6/2002,0,30.94000053
5/6/2002,0,29.95999908
6/6/2002,13.97245407,32.27999878
7/6/2002,0,32.06000137
8/6/2002,0.916621149,31.79999924
9/6/2002,5.116807938,32.97999954
10/6/2002,4.583105564,31.51000023
11/6/2002,0,30.75
12/6/2002,0,30.76000023
13-06-2002,43.33972931,30.92000008
14-06-2002,16.16265678,31.10000038
15-06-2002,0,29.53000069
16-06-2002,2.651429653,29.19000053
17-06-2002,0,29.43000031
18-06-2002,0,29.29000092
19-06-2002,6.497219086,28.70999908
20-06-2002,0,27.70000076
21-06-2002,0,27.59000015
22-06-2002,13.49335861,29.21999931
23-06-2002,0.456973076,29.21999931
24-06-2002,1.370919228,28.78000069
25-06-2002,0.571216345,29.46999931
26-06-2002,0,30.57999992
27-06-2002,0,31.05999947
28-06-2002,0,31.87000084
29-06-2002,0.635819137,31.65999985
30-06-2002,0,32.38000107
1/7/2002,0,32.49000168
2/7/2002,0,31.22999954
3/7/2002,1.827892303,31.30999947
4/7/2002,0,31.42000008
5/7/2002,0,31.37999916
6/7/2002,0,32.40000153
7/7/2002,0,32.18000031
8/7/2002,0,32.68999863
9/7/2002,0,32.02000046
10/7/2002,0,32
11/7/2002,0,31.37999916
12/7/2002,0,30.19000053
13-07-2002,4.772078037,29.31999969
14-07-2002,4.445005417,30.62000084
15-07-2002,3.619278669,31.21999931
16-07-2002,0.274628252,31.93000031
17-07-2002,1.762572289,29.20000076
18-07-2002,0,28.5
19-07-2002,0.959643483,29.35000038
20-07-2002,0,30.20000076
21-07-2002,0,30.42000008
22-07-2002,6.996445179,30.70000076
23-07-2002,7.84535408,29.15999985
24-07-2002,8.432378769,29.38999939
25-07-2002,0,31.12000084
26-07-2002,0,30.95000076
27-07-2002,0,30.61000061
28-07-2002,0,30.51000023
29-07-2002,0,29.56999969
30-07-2002,1.207299352,30.90999985
31-07-2002,0,28.97999954
1/8/2002,2.33056283,29.09000015
2/8/2002,0,30.34000015
3/8/2002,0,30.39999962
4/8/2002,0.205971181,29.20999908
5/8/2002,8.196146011,29.13999939
6/8/2002,2.772151947,27.31999969
7/8/2002,9.49865818,27.59000015
8/8/2002,0,27.05999947
9/8/2002,7.556272507,27.14999962
10/8/2002,2.977012396,26.29999924
11/8/2002,1.970556378,26.81999969
12/8/2002,0,26.81999969
13-08-2002,0,27.45999908
14-08-2002,0,28.29999924
15-08-2002,0,28.88999939
16-08-2002,0,28.62000084
17-08-2002,1.166059017,28.04999924
18-08-2002,1.370919228,29.65999985
19-08-2002,0,29.93000031
20-08-2002,0,30.44000053
21-08-2002,0,29.96999931
22-08-2002,0,29.68000031
23-08-2002,0,29.40999985
24-08-2002,0,28.90999985
25-08-2002,0,29.71999931
26-08-2002,0,30.70999908
27-08-2002,0,31.63999939
28-08-2002,0,31.45000076
29-08-2002,0,31.15999985
30-08-2002,0,31.30999947
31-08-2002,0,31.36000061
1/9/2002,0,30.97999954
2/9/2002,0,29.90999985
3/9/2002,1.374931812,30.53000069
4/9/2002,4.158454895,30.88999939
5/9/2002,0,30.97999954
6/9/2002,0,30.52000046
7/9/2002,2.497190714,29.64999962
8/9/2002,0,30.07999992
9/9/2002,0,29.98999977
10/9/2002,0,29.20000076
11/9/2002,6.874658108,29.87000084
12/9/2002,0,30.09000015
13-09-2002,0,30.73999977
14-09-2002,0.959643483,32.45999908
15-09-2002,0,31.98999977
16-09-2002,34.33858871,31.38999939
17-09-2002,22.80665016,29.92000008
18-09-2002,0,28.81999969
19-09-2002,0,30.37999916
20-09-2002,0,30.22999954
21-09-2002,0,30.79999924
22-09-2002,0,30.61000061
23-09-2002,0,31.29000092
24-09-2002,0,31.45999908
25-09-2002,0,31.54999924
26-09-2002,0,31.72999954
27-09-2002,0,32.13000107
28-09-2002,0,32.20000076
29-09-2002,0,31.25
30-09-2002,0,32.20000076
1/10/2002,0,32.15000153
2/10/2002,0,31.68000031
3/10/2002,0,32
4/10/2002,0,32.75
5/10/2002,0,31.56999969
6/10/2002,0,32.59000015
7/10/2002,0.502670407,30.92000008
8/10/2002,0,31.28000069
9/10/2002,13.84071159,30.90999985
10/10/2002,7.305325985,28.96999931
11/10/2002,23.52150917,28.20999908
12/10/2002,0,27.90999985
13-10-2002,0,27.57999992
14-10-2002,0,26.93000031
15-10-2002,0,27.03000069
16-10-2002,0.502670407,28.59000015
17-10-2002,0,29.54000092
18-10-2002,0,29.88999939
19-10-2002,0,29.71999931
20-10-2002,0,28.86000061
21-10-2002,0,29.12000084
22-10-2002,0,28.35000038
23-10-2002,0,28.92000008
24-10-2002,0,29.79000092
25-10-2002,0,29.25
26-10-2002,0,27.32999992
27-10-2002,0,26.98999977
28-10-2002,0,26.95999908
29-10-2002,13.04280567,25.44000053
30-10-2002,11.45375252,28.45000076
31-10-2002,0,26.04000092
1/11/2002,0,25.31999969
2/11/2002,0.799925089,23.5
3/11/2002,0,25.80999947
4/11/2002,0,28.01000023
5/11/2002,0,28.21999931
6/11/2002,0,27.68000031
7/11/2002,0,27.62999916
8/11/2002,0,28.04000092
9/11/2002,5.791950703,26.11000061
